Region;Filial;Mencion;Negativo;Neutral;Positivo;Territorio_comunicacion
Caribe;AFINIA;Superintendencia de Servicios Públicos realiza en Afinia visita de evaluación integral. https://t.co/LZUeKc7ODC @AfiniaGrupoEPM @ValleduparAfin1 @eabuelvas12 @xfernandezb1 @EPMestamosahi @AlcaldiaCTG @sicsuper @Superservicios @petrogustavo @infopresidencia @pedrosalazar420;;1;;No asignado
Caribe;AFINIA;SNoticias Tv - #Ayapel Afinia Grupo EPM suspenderá la energia #Viernes y #Sábado en varios sectores rural y urbana de Ayapel El equipo técnico de Afinia, adelantará trabajos de robustecimiento de la infraestructura eléctrica entre el 16 y 17 de mayo, para entregar un servicio con mayor confiabilidad en distintos municipios de Córdoba. Para...;;1;;Calidad del servicio
Caribe;AFINIA;Sin servicio de energía en Buenavista Córdoba como casi todos los días en alguna hora y @EPMestamosahi embargando cuentas del Gobierno porque no le pagan los tales subsidios de su servicio de mierda de la banda criminal @AfiniaGrupoEPM No sea hijo de puta @FicoGutierrez cínico;1;;;Calidad del servicio
Caribe;AFINIA;Sin categoría Guardianes ambientales del colegio INEM cuidan del primer vivero bioclimático que Afinia entrega a Cartagena politica2Hace 4 mins0 0 1 minuto de lectura Afinia, filial del Grupo EPM, continúa fortaleciendo su compromiso con la...;;;1;No asignado
Caribe;AFINIA;Si también te afecta los altos precios de las taritas de energia, sumate. Firma aqui: https://t.co/iM7FuM40Vg @petrogustavo #FacturaDeLuz #FacturaDeEnergia #Afinia #EPM #Cartagena #Bolivar https://t.co/durGiTiw47;1;;;No asignado
Caribe;AFINIA;Señores @DATT_Cgena @EPMestamosahi @AfiniaGrupoEPM o a quién le boten la pelota,una adulta mayor comenta que desde hace 2 semanas no funcionan los semáforos frente a @ccpcastellana Que si toca esperar que la tropellen para solucionar? @AlcaldiaCTG @gepmcartagena @dumek_turbay https://t.co/5pOxwBbO6b;1;;;No asignado
Caribe;AFINIA;Según información de la empresa, se ha identificado la pérdida de 100.000 kwh/mes Luego que un transformador se quemara al interior de la urbanización OGB de Valledupar, el pasado sábado 15 de marzo, Afinia, filial del Grupo EPM, llevó a cabo una...;1;;;Transparencia
Caribe;AFINIA;Se realizarán giras desde el 10 de febrero del 2025 por los municipios que reciben el servicio de Afinia. | Energía | Portafolio.co Empresas Públicas de Medellín (EPM) reveló que la Liga Nacional de Usuarios de los Servicios Públicos Domiciliarios -Uspd...;;1;;Calidad del servicio
Caribe;AFINIA;San Pelayo sin energía eléctrica este 25 de abril por trabajos en la subestación El equipo especializado en alta tensión de Afinia, filial, del Grupo EPM, realizará este viernes, 25 de abril, trabajos en la subestación eléctrica San Pelayo, con el...;;1;;Calidad del servicio
Caribe;AFINIA;RT @YeinerPaul Realizamos solicitud ante la empresa afinia epm cambio de poste en muy mal estado, en el barrio la garita sobre la calle 16C # 5- 42 en la cuál venimos visitando conociendo sus necesidades. @AfiniaGrupoEPM @AlcaldiaVpar @AlexAcunaReales @Antenacivica https://t.co/xAisaaoH5A;;1;;No asignado
